檔名,緯度,經度,方位角,Roll,Pitch,altitude
93.jpg,23.8401713,120.9100259,204.29,1.72,2.94,300.09
94.jpg,23.8399049,120.9101421,202.16,1.84,4.15,299.49
95.jpg,23.8396460,120.9102640,201.47,1.38,3.79,299.73
96.jpg,23.8394018,120.9103798,201.12,2.07,2.98,300.39
97.jpg,23.8391437,120.9105022,204.24,1.77,2.79,299.89
98.jpg,23.8388615,120.9106448,201.78,0.89,1.32,300.84
99.jpg,23.8385480,120.9107965,202.25,1.5,2.28,301.34
100.jpg,23.8382824,120.9109202,207.11,2.07,0.92,300.86
101.jpg,23.8379921,120.9110576,203.4,2.03,4.16,298.58
102.jpg,23.8376933,120.9111988,204.29,0.33,2.95,299.4
103.jpg,23.8374096,120.9113414,203.25,1.55,4.35,298.64
104.jpg,23.8370788,120.9115059,204.86,0.95,5.68,299.21
105.jpg,23.8367752,120.9116569,201.66,1.2,4.63,299.46
106.jpg,23.8364311,120.9118266,203.07,1.22,6.08,299.29
107.jpg,23.8360969,120.9120002,201.29,1.91,3.79,299.91
108.jpg,23.8360273,120.9120352,203.15,1.25,3.61,299.89
109.jpg,23.8355751,120.9126797,131.06,-7.77,2.87,299.92
110.jpg,23.8354923,120.9132790,106.46,1.21,2.05,300.59
111.jpg,23.8354301,120.9138301,96.08,1.67,4.14,299.77
112.jpg,23.8353479,120.9144943,89.64,1.13,4.17,300.64
113.jpg,23.8353413,120.9145645,88.73,3.14,4.58,300.69
114.jpg,23.8353270,120.9147041,89.98,1.84,3.48,300.71
115.jpg,23.8358982,120.9152818,294.04,1.35,-4.6,302.89
116.jpg,23.8361499,120.9151348,290.82,9.58,1.66,300.4
117.jpg,23.8366623,120.9149549,321.12,7.44,4.08,299.14
118.jpg,23.8371235,120.9149397,334.18,6.98,4.86,299.04
119.jpg,23.8375992,120.9149774,336.86,2.96,5.91,299.24
120.jpg,23.8377059,120.9149870,336.33,3.19,5.04,299.31
121.jpg,23.8381932,120.9149929,314.63,-8.95,3.3,300.41
122.jpg,23.8385620,120.9148405,304.31,-4.27,0.02,303.12
123.jpg,23.8388612,120.9146406,304.82,2.0,-1.07,300.82
124.jpg,23.8391176,120.9144291,295.01,0.84,-1.01,301.29
125.jpg,23.8393800,120.9142011,302.58,1.27,2.42,300.02
126.jpg,23.8396575,120.9139688,302.86,1.78,4.14,299.98
127.jpg,23.8399107,120.9137576,308.76,3.13,2.43,301.45
128.jpg,23.8401575,120.9135489,314.58,0.65,0.88,300.43
129.jpg,23.8404381,120.9133173,312.34,2.08,3.19,301.25
130.jpg,23.8406960,120.9131220,313.91,-2.03,-3.34,303.19
131.jpg,23.8409736,120.9128754,314.07,1.37,0.36,299.69
132.jpg,23.8412631,120.9126665,317.24,1.16,2.82,298.26
133.jpg,23.8415344,120.9124734,314.31,3.86,3.75,298.24
134.jpg,23.8418350,120.9122657,314.46,2.8,2.34,299.09
135.jpg,23.8421217,120.9120647,315.36,2.69,2.43,299.04
136.jpg,23.8424632,120.9118979,324.71,5.12,3.85,298.33
137.jpg,23.8429358,120.9118020,335.42,4.9,5.32,299.03
138.jpg,23.8433611,120.9117839,339.67,1.62,4.96,298.92
139.jpg,23.8438232,120.9117895,345.86,-0.1,3.07,299.99
140.jpg,23.8443013,120.9117929,338.39,0.88,1.37,301.06
141.jpg,23.8447259,120.9117977,337.7,1.27,2.58,299.94
142.jpg,23.8451457,120.9118112,337.99,0.83,0.59,300.35
143.jpg,23.8456288,120.9118117,337.35,1.51,1.82,300.31
144.jpg,23.8460810,120.9118135,335.97,0.9,2.85,299.74
145.jpg,23.8465583,120.9118164,334.54,1.23,1.64,300.24
146.jpg,23.8470354,120.9118208,336.76,1.42,1.98,298.76
147.jpg,23.8474649,120.9118253,333.43,1.71,3.62,299.03
148.jpg,23.8478612,120.9118217,334.02,2.21,2.6,299.65
149.jpg,23.8483291,120.9118186,332.6,1.36,3.48,298.23
150.jpg,23.8487807,120.9118078,332.54,0.55,7.21,297.74
151.jpg,23.8492267,120.9117921,333.08,2.82,4.28,299.32
152.jpg,23.8496851,120.9117770,336.54,1.63,4.11,299.59
153.jpg,23.8501297,120.9117588,335.91,2.43,5.17,299.18
154.jpg,23.8506503,120.9117506,342.43,3.09,4.22,301.52
155.jpg,23.8510752,120.9117317,340.97,0.11,-2.44,304.52
156.jpg,23.8514845,120.9116997,333.74,-0.23,-2.42,304.76
157.jpg,23.8527651,120.9113892,325.41,2.61,-5.23,304.26
158.jpg,23.8532699,120.9112869,331.12,0.1,-4.87,299.98
159.jpg,23.8537901,120.9112153,334.21,2.98,0.25,295.03
160.jpg,23.8543195,120.9111580,335.7,1.49,3.14,295.53
161.jpg,23.8549375,120.9111095,335.46,-1.06,4.98,295.9
162.jpg,23.8554037,120.9110495,332.77,1.54,2.02,299.02
163.jpg,23.8558612,120.9109843,329.38,0.67,-0.6,300.62
164.jpg,23.8563424,120.9109088,330.71,2.6,0.38,301.49
165.jpg,23.8567170,120.9108451,327.83,2.29,-1.86,300.23
166.jpg,23.8571202,120.9107607,325.63,1.06,3.14,297.77
167.jpg,23.8575336,120.9106974,328.45,1.78,2.76,297.05
168.jpg,23.8579231,120.9106387,327.89,-0.78,2.71,298.2
169.jpg,23.8583201,120.9105652,330.09,4.16,3.95,299.11
170.jpg,23.8587225,120.9104985,333.11,1.88,3.96,298.46
171.jpg,23.8591762,120.9104350,332.11,0.46,4.57,298.53
172.jpg,23.8595821,120.9103741,333.28,1.34,5.33,298.4
173.jpg,23.8599863,120.9103169,328.83,1.41,2.94,299.03
174.jpg,23.8603934,120.9102521,333.04,0.6,5.37,298.65
175.jpg,23.8607991,120.9101864,329.0,1.73,4.22,299.61
176.jpg,23.8620116,120.9105917,35.88,8.39,6.37,299.14
177.jpg,23.8623508,120.9110071,46.78,1.65,6.27,297.09
178.jpg,23.8626942,120.9114823,45.1,2.74,6.52,303.29
179.jpg,23.8627515,120.9115583,43.1,1.62,5.01,304.74
180.jpg,23.8631068,120.9120268,32.6,4.22,-3.88,304.61
181.jpg,23.8634158,120.9124522,32.21,1.28,2.62,300.66
182.jpg,23.8637145,120.9128741,31.12,1.09,3.89,298.27
183.jpg,23.8640318,120.9133754,39.39,0.83,3.33,299.68
184.jpg,23.8643184,120.9138880,38.19,1.81,2.05,301.53
185.jpg,23.8646354,120.9144253,38.93,1.93,2.69,297.28
186.jpg,23.8649867,120.9150477,37.82,1.61,6.8,300.61
187.jpg,23.8659919,120.9160784,341.55,-5.27,-3.87,301.7
188.jpg,23.8664443,120.9162039,340.16,0.05,-3.46,299.71
189.jpg,23.8669440,120.9163201,348.45,4.26,1.53,296.67
190.jpg,23.8674497,120.9164801,356.41,2.21,2.44,297.45
191.jpg,23.8679493,120.9166607,359.92,1.13,4.06,298.39
192.jpg,23.8684582,120.9168433,0.54,1.74,4.42,298.8
193.jpg,23.8688719,120.9169935,359.1,0.92,4.38,296.35
194.jpg,23.8693870,120.9171696,0.74,1.0,9.15,296.35
195.jpg,23.8699021,120.9173427,0.91,0.39,6.33,299.91
196.jpg,23.8703149,120.9174947,1.77,-0.08,3.06,298.56
197.jpg,23.8708580,120.9187888,86.58,8.56,8.1,300.64
198.jpg,23.8708223,120.9192860,98.59,2.63,7.71,299.89
199.jpg,23.8707670,120.9197368,97.64,1.38,6.73,302.54
200.jpg,23.8707016,120.9202018,99.0,1.21,4.14,300.96
201.jpg,23.8706429,120.9206927,97.92,1.66,0.85,301.92
202.jpg,23.8706092,120.9211106,94.53,7.31,0.66,302.57
203.jpg,23.8705106,120.9215022,113.89,5.9,1.16,302.45
204.jpg,23.8703120,120.9218686,129.33,1.54,0.58,303.35
205.jpg,23.8702253,120.9219956,136.75,5.21,-1.47,304.05
206.jpg,23.8701740,120.9220636,140.06,2.63,-2.62,304.64
207.jpg,23.8699269,120.9223673,157.97,-0.2,-5.81,304.25
208.jpg,23.8696547,120.9226612,170.63,4.06,-5.03,302.72
